Betweenness Centrality Scores:
Vertex 0: 7258.28
Vertex 1: 6498.63
Vertex 2: 6861.55
Vertex 3: 3592.51
Vertex 4: 2952.86
Vertex 5: 2569.67
Vertex 6: 2076.21
Vertex 7: 2848.03
Vertex 8: 3942.66
Vertex 9: 2556.58
Vertex 10: 2693.3
Vertex 11: 3524.84
Vertex 12: 1974.31
Vertex 13: 5442.18
Vertex 14: 1527.56
Vertex 15: 4887.63
Vertex 16: 2064.65
Vertex 17: 4790.99
Vertex 18: 2508.22
Vertex 19: 1527.41
Vertex 20: 1880.29
Vertex 21: 3274.37
Vertex 22: 2142.21
Vertex 23: 2093.49
Vertex 24: 5252.82
Vertex 25: 4693.32
Vertex 26: 6685.89
Vertex 27: 3597.52
Vertex 28: 1902.5
Vertex 29: 5798.27
Vertex 30: 2141.28
Vertex 31: 3828.49
Vertex 32: 3361.88
Vertex 33: 3830.44
Vertex 34: 4343.67
Vertex 35: 6235.13
Vertex 36: 4964.81
Vertex 37: 5675.54
Vertex 38: 5194.84
Vertex 39: 6220.61
Vertex 40: 4947.79
Vertex 41: 4886.55
Vertex 42: 3349.66
Vertex 43: 1493.38
Vertex 44: 2479.69
Vertex 45: 2003.44
Vertex 46: 4546.61
Vertex 47: 3106.16
Vertex 48: 3940.94
Vertex 49: 5152.04
Vertex 50: 3216.35
Vertex 51: 1472.97
Vertex 52: 1239.74
Vertex 53: 2184.01
Vertex 54: 4863.24
Vertex 55: 3773.56
Vertex 56: 8572.69
Vertex 57: 2756.81
Vertex 58: 3020.65
Vertex 59: 1521.88
Vertex 60: 3930.32
Vertex 61: 2344.41
Vertex 62: 2754.45
Vertex 63: 5635.98
Vertex 64: 1779.59
Vertex 65: 3426.53
Vertex 66: 2810.1
Vertex 67: 3119.5
Vertex 68: 6015.74
Vertex 69: 2313.83
Vertex 70: 5104.27
Vertex 71: 3849.1
Vertex 72: 9400.8
Vertex 73: 7730.94
Vertex 74: 7442.35
Vertex 75: 2970.41
Vertex 76: 3768.44
Vertex 77: 5463.26
Vertex 78: 4298.58
Vertex 79: 1700.4
Vertex 80: 4108.24
Vertex 81: 2690.07
Vertex 82: 10091.2
Vertex 83: 4295.99
Vertex 84: 1362.9
Vertex 85: 5003.99
Vertex 86: 5353.92
Vertex 87: 2523.8
Vertex 88: 4993.51
Vertex 89: 2583.04
Vertex 90: 4760.42
Vertex 91: 3182.28
Vertex 92: 980.402
Vertex 93: 4042.53
